,Country,City name,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
96,CA,Pangnirtung,66.15,-65.71,0,262.35,258.02,262.35,262.35,1.51,82,1025
97,IN,Phulbāni,20.47,84.23,4,296.67,295.67,296.67,296.67,0.75,37,1009
98,BR,Porto Walter,-8.27,-72.74,82,295.62,299.34,295.62,295.62,0.61,91,1011
99,RU,Usinsk,65.99,57.53,96,266.58,260.18,266.58,266.58,5.14,97,997
100,AR,Mar del Plata,-38,-57.56,20,284.25,282.99,285.37,282.15,1.5,87,1026
101,IN,Mangan,27.52,88.53,55,289.42,284.34,289.42,289.42,3.46,22,1019
102,US,Morehead,37.27,-87.18,1,297.48,297.72,299.15,295.93,3.1,64,1003
103,NO,Sørland,67.67,12.69,33,275.46,268.12,275.46,275.46,7.66,85,1003
104,AU,Mount Gambier,-37.83,140.77,5,289.15,287.59,289.15,289.15,3.1,77,1026
105,RU,Kamenka,51.32,42.77,90,278.14,274.65,278.71,277.59,1.82,62,1007
106,PT,Ribeira Grande,38.52,-28.7,3,289.13,287.3,289.13,289.13,3.91,82,1018
107,US,Marshall,34.38,-86.33,40,293.84,294.34,297.15,290.93,3.1,83,1008
108,CV,Praia,14.92,-23.51,0,298.15,295.68,298.15,298.15,5.7,53,1013
109,AR,Bariloche,-41.15,-71.31,0,285.15,280.76,285.15,285.15,3.6,46,1017
110,NG,Funtua,11.52,7.31,90,299.93,298.75,299.93,299.93,2.25,38,1007
111,US,Fortuna,40.6,-124.16,20,289.5,286.58,291.48,287.15,5.1,76,1014
112,ID,Padang,-0.95,100.35,79,298.88,301.39,298.88,298.88,2.05,73,1012
113,NZ,Kaeo,-35.1,173.78,43,293.44,290.39,293.71,293.15,5.81,64,1012
114,ES,Los Llanos de Aridane,28.66,-17.92,40,293.15,293.29,293.15,293.15,3.1,82,1022
115,MM,Dawei,14.08,98.2,42,297.07,298.85,297.07,297.07,1.8,72,1012
116,IS,Olafsvik,64.89,-23.71,80,274.37,269.29,274.37,274.37,4.21,85,1024
117,RU,Verkhoyansk,67.54,133.38,99,269.06,265.63,269.06,269.06,1.12,91,1023
118,US,Nantucket,41.28,-70.1,75,278.92,275.39,280.15,278.15,3.1,87,1004
119,RU,Troitskoye,52.98,84.68,100,274.58,271.4,274.58,274.58,1.7,90,1026
120,AU,Carnarvon,-24.87,113.63,70,297.15,298.5,297.15,297.15,2.6,73,1014
121,US,Saint George,37.1,-113.58,90,285.6,282.62,288.15,280.37,3.1,67,1015
122,CA,Thunder Bay,48.4,-89.32,40,278.2,269.91,279.15,275.37,7.7,38,1003
123,TO,Vaini,-21.2,-175.2,75,301.15,298.44,301.15,301.15,12.9,83,1002
124,PF,Vaitape,-16.52,-151.75,84,302.26,304.09,302.26,302.26,5.69,74,1012
125,SE,Kiruna,67.86,20.23,72,273.15,263.69,273.15,273.15,10.3,87,991
126,FO,Klaksvík,62.23,-6.59,42,275.15,269.89,275.15,275.15,4.1,69,1026
127,SB,Honiara,-9.43,159.95,20,304.15,307.73,304.15,304.15,3.1,66,1011
128,GB,Aberdeen,57.14,-2.1,75,277.89,274.5,280.37,275.93,2.6,86,1027
129,RU,Severo-Kuril'sk,50.68,156.12,100,273.23,269.2,273.23,273.23,2.85,97,1013
130,JP,Nemuro,43.32,145.57,75,273.15,267.45,273.15,273.15,5.1,93,1018
131,RU,Cherskiy,68.75,161.3,55,255.21,247.55,255.21,255.21,5.88,92,1021
132,BR,Carutapera,-1.2,-46.02,100,298.16,299.58,298.16,298.16,6.11,93,1013
133,ZA,East London,-33.02,27.91,99,292.04,288.75,292.04,292.04,5.76,66,1025
134,ID,Bengkulu,-3.8,102.27,89,298.87,301.78,298.87,298.87,2.25,78,1012
135,AU,Ulladulla,-35.35,150.47,75,291.69,288.9,293.15,290.37,5.1,68,1027
136,ID,Boyolangu,-8.12,111.89,45,299.16,303.79,299.16,299.16,0.47,81,1012
137,RO,Vădăstriţa,43.85,24.33,5,279.23,276.27,280.93,277.15,1,56,1026
138,ID,Tual,-5.67,132.75,98,301.56,305.18,301.56,301.56,2.4,73,1012
139,RU,Sozimskiy,59.74,52.25,92,272.09,268.79,272.09,272.09,1.58,97,1010
140,CL,Los Andes,-32.83,-70.6,0,290.15,286.43,290.15,290.15,5.7,67,1015
141,MR,Nouadhibou,20.93,-17.03,0,293.14,287.4,293.14,293.14,10.83,76,1014
142,PY,San Lorenzo,-25.33,-57.53,47,292.15,288.69,292.15,292.15,4.6,52,1019
143,FR,Challans,46.84,-1.87,4,285.86,284.48,286.15,285.15,2.28,87,1022
144,BS,Rock Sound,24.9,-76.2,2,297.92,299.3,297.92,297.92,3.63,77,1014
145,AU,Mount Isa,-20.73,139.5,40,300.15,296.91,300.15,300.15,3.6,28,1017
146,RU,Uvat,59.14,68.9,100,269.09,262.3,269.09,269.09,6.05,97,1004
147,RU,Khatanga,71.97,102.5,100,274.86,268.58,274.86,274.86,6.16,89,1000
148,RU,Nikolayevsk-on-Amur,53.14,140.73,0,274.01,270.08,274.01,274.01,2.6,88,1021
149,HK,Hong Kong,22.29,114.16,56,294.12,291.85,295.93,293.15,3.6,52,1018
150,SO,Eyl,7.98,49.82,0,300.45,302.01,300.45,300.45,2.63,62,1010
151,US,Barrow,71.29,-156.79,1,255.15,249.01,255.15,255.15,3.6,77,1012
152,MN,Khovd,48.01,91.64,0,275.15,271.56,275.15,275.15,0.84,43,1022
153,US,Davidson,36.15,-86.78,40,295.42,294.56,298.15,292.04,3.1,60,1005
154,CN,Kumul,42.8,93.45,0,288.85,283.71,288.85,288.85,3.47,22,1014
155,CA,Matane,48.83,-67.52,20,271.91,267.43,273.15,271.15,3.1,92,1004
156,AR,Rawson,-43.3,-65.1,0,291.14,281.77,291.14,291.14,11.65,41,1016
157,ES,Arroyo de la Encomienda,41.61,-4.8,86,285.11,283.23,285.93,284.15,3.1,93,1020
158,PT,Camacha,33.08,-16.33,75,292.44,292.07,293.15,292.15,4.6,93,1020
159,NA,Henties Bay,-22.12,14.28,0,287.59,287.95,287.59,287.59,0.89,92,1014
160,MM,Pathein,16.78,94.73,25,297.53,300.81,297.53,297.53,2.8,92,1011
161,GF,Grand-Santi,4.25,-54.38,56,297.46,301.48,297.46,297.46,1.4,90,1011
162,SB,Gizo Government Station,-8.1,156.84,73,302.49,306.28,302.49,302.49,2.88,73,1011
163,RU,Lensk,60.73,114.93,0,275.58,272.28,275.58,275.58,1.57,75,1029
164,CA,Bay Roberts,47.6,-53.26,75,270.47,264.46,271.48,269.82,4.6,73,1004
165,RU,Provideniya,64.38,-173.3,63,262.15,256.68,262.15,262.15,3,72,1015
166,ID,Sorong,-0.88,131.25,18,302.28,306.02,302.28,302.28,2.03,69,1013
167,KR,Seoul,37.57,126.98,20,281.61,276.51,282.15,280.15,3.91,45,1022
168,NG,Lagos,6.58,3.75,20,301.15,307.39,301.15,301.15,1,88,1011
169,RU,Ostrovnoy,68.05,39.51,100,274.9,267.58,274.9,274.9,7.78,93,988
170,MX,Panabá,21.28,-88.27,25,304.35,304.44,304.35,304.35,3.55,44,1011
171,ID,Sumenep,-7.02,113.87,95,299.96,304.26,299.96,299.96,1.06,78,1012
172,CN,Jiexiu,37.02,111.91,27,282.35,278.36,282.35,282.35,2.56,47,1018
173,RU,Yelizovo,53.19,158.38,40,277.15,273.82,277.15,277.15,1,51,1011
174,OM,Salalah,17.02,54.09,20,299.15,301.73,299.15,299.15,1.5,69,1011
175,NO,Berlevåg,70.86,29.09,100,272.27,260.51,272.27,272.27,13.7,97,987
176,CN,Changli,39.7,119.15,85,282.25,279.37,282.25,282.25,0.85,45,1027
177,MY,Paka,4.64,103.44,20,297.1,302.54,297.15,297.04,0.5,100,1011
178,BR,Pitimbu,-7.47,-34.81,17,299.15,303.41,299.15,299.15,2.1,88,1012
179,FR,La Rochelle,46.17,-1.15,0,285.64,284.85,287.15,283.71,1,82,1022
180,PE,Pisco,-13.7,-76.22,40,295.34,296.13,296.15,294.26,3.6,83,1012
181,ML,Taoudenni,22.68,-3.98,0,300.3,293.55,300.3,300.3,6.3,14,1011
182,PF,Tiarei,-17.53,-149.33,89,305.15,306.85,305.15,305.15,5.7,62,1012
183,RU,Chokurdakh,70.63,147.92,44,251.8,245.71,251.8,251.8,3.45,90,1026
184,RU,Strezhevoy,60.73,77.59,75,270.15,261.03,270.15,270.15,9,73,999
185,KZ,Chingirlau,51.09,54.08,100,277.96,271.73,277.96,277.96,5.9,67,1019
186,CN,Heihe,50.24,127.49,0,278.15,270.11,278.15,278.15,7,30,1026
187,GL,Tasiilaq,65.61,-37.64,2,269.15,263.65,269.15,269.15,3.6,68,1019
188,ZA,Plettenberg Bay,-34.05,23.37,95,288.89,286.29,288.89,288.89,4.06,72,1021
189,US,Brainerd,46.36,-94.2,75,277.21,270.97,278.15,276.15,5.7,65,1010
